alpha,level,metric,mean,std
0.0,family,coverage,0.999990521327014,3.7898568322735005e-05
0.0,family,set_size_mean,4.75070458135861,0.1785031069771946
0.0,family,set_size_median,5.0,0.0
0.0,family,empty_rate,0.0,0.0
0.0,family,singleton_rate,0.0031690363349127,0.0025571770907429
0.0,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.0,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.0,family,hir,0.0,0.0
0.0,major,coverage,0.9997756714060032,0.0002325517491728
0.0,major,set_size_mean,16.789270142180094,2.8118684109021754
0.0,major,set_size_median,17.42,2.8720326301369608
0.0,major,empty_rate,0.0,0.0
0.0,major,singleton_rate,0.00224644549763,0.0017415013568588
0.0,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.0,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.0,major,hir,,
0.0,leaf,coverage,0.9997661927330171,0.0002577924678185
0.0,leaf,set_size_mean,31.11380410742496,8.119973339834385
0.0,leaf,set_size_median,31.94,8.617518938363943
0.0,leaf,empty_rate,0.0,0.0
0.0,leaf,singleton_rate,0.0020442338072667,0.0015718309274202
0.0,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.0,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.0,leaf,hir,,
0.01,family,coverage,0.9954660347551336,0.000902871801214
0.01,family,set_size_mean,1.5853744075829383,0.0350032628680281
0.01,family,set_size_median,1.0,0.0
0.01,family,empty_rate,0.0,0.0
0.01,family,singleton_rate,0.5949289099526062,0.0222814372399644
0.01,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.01,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.01,family,hir,0.0,0.0
0.01,major,coverage,0.99101737756714,0.0016611871075312
0.01,major,set_size_mean,2.8282969984202206,0.088341358836632
0.01,major,set_size_median,2.0,0.0
0.01,major,empty_rate,0.0,0.0
0.01,major,singleton_rate,0.3204075829383882,0.0220617657941109
0.01,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.01,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.01,major,hir,,
0.01,leaf,coverage,0.9897187993680882,0.0018342436134454
0.01,leaf,set_size_mean,4.009330173775672,0.1239313490221564
0.01,leaf,set_size_median,2.98,0.1414213562373095
0.01,leaf,empty_rate,0.0,0.0
0.01,leaf,singleton_rate,0.2937661927330169,0.0206358212342809
0.01,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.01,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.01,leaf,hir,,
0.02,family,coverage,0.9922969984202208,0.0011273115811855
0.02,family,set_size_mean,1.3754881516587674,0.0135696063526937
0.02,family,set_size_median,1.0,0.0
0.02,family,empty_rate,0.0,0.0
0.02,family,singleton_rate,0.7170900473933645,0.0070560183017468
0.02,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.02,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.02,family,hir,0.0,0.0
0.02,major,coverage,0.9826603475513424,0.0021669205286595
0.02,major,set_size_mean,2.168113744075829,0.0441145223548891
0.02,major,set_size_median,1.94,0.2398979374820952
0.02,major,empty_rate,0.0,0.0
0.02,major,singleton_rate,0.4874123222748812,0.0106042261229358
0.02,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.02,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.02,major,hir,,
0.02,leaf,coverage,0.9799810426540282,0.0027695670864385
0.02,leaf,set_size_mean,3.046224328593996,0.0714461354399521
0.02,leaf,set_size_median,2.0,0.0
0.02,leaf,empty_rate,0.0,0.0
0.02,leaf,singleton_rate,0.4501516587677721,0.0099894210352707
0.02,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.02,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.02,leaf,hir,,
0.03,family,coverage,0.9892764612954182,0.0013107638208881
0.03,family,set_size_mean,1.3106508688783562,0.0089050105686441
0.03,family,set_size_median,1.0,0.0
0.03,family,empty_rate,0.0,0.0
0.03,family,singleton_rate,0.7557440758293835,0.0053909364186885
0.03,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.03,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.03,family,hir,0.0,0.0
0.03,major,coverage,0.9750110584518166,0.002546654915607
0.03,major,set_size_mean,1.9320315955766187,0.0288752965005053
0.03,major,set_size_median,1.0,0.0
0.03,major,empty_rate,0.0,0.0
0.03,major,singleton_rate,0.5488341232227484,0.0063121507869427
0.03,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.03,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.03,major,hir,,
0.03,leaf,coverage,0.9702369668246444,0.0029244854349673
0.03,leaf,set_size_mean,2.662657187993681,0.0559759943333671
0.03,leaf,set_size_median,1.32,0.4602572483882003
0.03,leaf,empty_rate,0.0,0.0
0.03,leaf,singleton_rate,0.5027835703001576,0.0052460318753475
0.03,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.03,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.03,leaf,hir,,
0.04,family,coverage,0.9857535545023692,0.0013954747477654
0.04,family,set_size_mean,1.263842022116903,0.0096165001733606
0.04,family,set_size_median,1.0,0.0
0.04,family,empty_rate,0.0,0.0
0.04,family,singleton_rate,0.7840442338072668,0.0062765760345949
0.04,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.04,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.04,family,hir,0.0,0.0
0.04,major,coverage,0.967118483412322,0.0026605701614998
0.04,major,set_size_mean,1.779892575039494,0.0199192313659897
0.04,major,set_size_median,1.0,0.0
0.04,major,empty_rate,0.0,0.0
0.04,major,singleton_rate,0.5822464454976299,0.0062404336786562
0.04,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.04,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.04,major,hir,,
0.04,leaf,coverage,0.960284360189573,0.0032886235046203
0.04,leaf,set_size_mean,2.38172195892575,0.040622235381864
0.04,leaf,set_size_median,1.0,0.0
0.04,leaf,empty_rate,0.0,0.0
0.04,leaf,singleton_rate,0.5291500789889412,0.0042763433787856
0.04,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.04,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.04,leaf,hir,,
0.05,family,coverage,0.9800189573459712,0.0021108848922301
0.05,family,set_size_mean,1.1953522906793046,0.0159693457459622
0.05,family,set_size_median,1.0,0.0
0.05,family,empty_rate,0.0,0.0
0.05,family,singleton_rate,0.8367835703001576,0.0145502991378324
0.05,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.05,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.05,family,hir,0.0,0.0
0.05,major,coverage,0.9581105845181672,0.0027822859143446
0.05,major,set_size_mean,1.6648025276461291,0.0214666356877453
0.05,major,set_size_median,1.0,0.0
0.05,major,empty_rate,0.0,0.0
0.05,major,singleton_rate,0.6335987361769349,0.0143548895033947
0.05,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.05,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.05,major,hir,,
0.05,leaf,coverage,0.9498325434439177,0.0030453217801983
0.05,leaf,set_size_mean,2.163330173775671,0.0259687461284105
0.05,leaf,set_size_median,1.0,0.0
0.05,leaf,empty_rate,0.0,0.0
0.05,leaf,singleton_rate,0.5415703001579775,0.0040635432751799
0.05,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.05,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.05,leaf,hir,,
0.075,family,coverage,0.9694786729857816,0.0019849815777293
0.075,family,set_size_mean,1.1007361769352286,0.0086104740162843
0.075,family,set_size_median,1.0,0.0
0.075,family,empty_rate,0.0,0.0
0.075,family,singleton_rate,0.9078420221169032,0.0075441345225341
0.075,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.075,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.075,family,hir,0.0,0.0
0.075,major,coverage,0.9377251184834118,0.0035614988119303
0.075,major,set_size_mean,1.4388025276461291,0.0215034486684008
0.075,major,set_size_median,1.0,0.0
0.075,major,empty_rate,0.0,0.0
0.075,major,singleton_rate,0.7108025276461292,0.0075628885884364
0.075,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.075,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.075,major,hir,,
0.075,leaf,coverage,0.9246729857819902,0.004118531636581
0.075,leaf,set_size_mean,1.7706540284360184,0.0324101647034866
0.075,leaf,set_size_median,1.0,0.0
0.075,leaf,empty_rate,0.0,0.0
0.075,leaf,singleton_rate,0.5787582938388622,0.0048406922156459
0.075,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.075,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.075,leaf,hir,,
0.1,family,coverage,0.9626224328593994,0.0020595323035973
0.1,family,set_size_mean,1.0628183254344388,0.0024643392388727
0.1,family,set_size_median,1.0,0.0
0.1,family,empty_rate,0.0009952606635065,0.0003411468394905
0.1,family,singleton_rate,0.9365592417061608,0.0020399243513686
0.1,family,top1_acc_non_empty,0.9437605162610916,0.0023137978880286
0.1,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.1,family,hir,0.0,0.0
0.1,major,coverage,0.9144518167456552,0.0042985580028506
0.1,major,set_size_mean,1.298325434439178,0.0080325919481569
0.1,major,set_size_median,1.0,0.0
0.1,major,empty_rate,0.0009952606635065,0.0003411468394905
0.1,major,singleton_rate,0.7622780410742491,0.0036406038677125
0.1,major,top1_acc_non_empty,0.8216294486831821,0.0028922961965582
0.1,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.1,major,hir,,
0.1,leaf,coverage,0.8989162717219585,0.0048546450246891
0.1,leaf,set_size_mean,1.5586919431279618,0.0116197107085079
0.1,leaf,set_size_median,1.0,0.0
0.1,leaf,empty_rate,0.0009952606635065,0.0003411468394905
0.1,leaf,singleton_rate,0.630018957345971,0.0035391895931885
0.1,leaf,top1_acc_non_empty,0.7238101932446809,0.0029967514149523
0.1,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.1,leaf,hir,,
0.15,family,coverage,0.951453396524486,0.0031715043187477
0.15,family,set_size_mean,1.0331943127962082,0.0027637865556807
0.15,family,set_size_median,1.0,0.0
0.15,family,empty_rate,0.0107551342812,0.0019559907166735
0.15,family,singleton_rate,0.94529541864139,0.0019343099987378
0.15,family,top1_acc_non_empty,0.9465993336439436,0.0023198820781942
0.15,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.15,family,hir,0.0,0.0
0.15,major,coverage,0.873769352290679,0.0046768031714932
0.15,major,set_size_mean,1.14554186413902,0.0070193513562378
0.15,major,set_size_median,1.0,0.0
0.15,major,empty_rate,0.0107551342812,0.0019559907166735
0.15,major,singleton_rate,0.8385750394944705,0.0035039285445477
0.15,major,top1_acc_non_empty,0.8280829635128478,0.0023509088704695
0.15,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.15,major,hir,,
0.15,leaf,coverage,0.8494913112164294,0.0061383235709627
0.15,leaf,set_size_mean,1.3255639810426536,0.0102812121845442
0.15,leaf,set_size_median,1.0,0.0
0.15,leaf,empty_rate,0.0107551342812,0.0019559907166735
0.15,leaf,singleton_rate,0.7099399684044231,0.0044416325805313
0.15,leaf,top1_acc_non_empty,0.7296241444877842,0.0024829338096181
0.15,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.15,leaf,hir,,
0.2,family,coverage,0.9370774091627168,0.0050513866413456
0.2,family,set_size_mean,1.0163033175355447,0.0046453370635138
0.2,family,set_size_median,1.0,0.0
0.2,family,empty_rate,0.0246508688783566,0.0039312810443659
0.2,family,singleton_rate,0.9343949447077406,0.003599485383595
0.2,family,top1_acc_non_empty,0.9463289726911024,0.002366474617611
0.2,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.2,family,hir,0.0,0.0
0.2,major,coverage,0.858679304897314,0.0049571304350804
0.2,major,set_size_mean,1.0994375987361764,0.0091606135709615
0.2,major,set_size_median,1.0,0.0
0.2,major,empty_rate,0.0246508688783566,0.0039312810443659
0.2,major,singleton_rate,0.8529067930489728,0.0029954223371891
0.2,major,top1_acc_non_empty,0.8356368031270136,0.002343724608711
0.2,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.2,major,hir,,
0.2,leaf,coverage,0.7986161137440755,0.0074048385629156
0.2,leaf,set_size_mean,1.1860505529225904,0.0166543198324734
0.2,leaf,set_size_median,1.0,0.0
0.2,leaf,empty_rate,0.0246508688783566,0.0039312810443659
0.2,leaf,singleton_rate,0.76972195892575,0.0089185853034389
0.2,leaf,top1_acc_non_empty,0.7364129395580455,0.0024054130695755
0.2,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.2,leaf,hir,,
0.25,family,coverage,0.8751785150078986,0.0076311217022047
0.25,family,set_size_mean,0.9429952606635068,0.0083151353108337
0.25,family,set_size_median,1.0,0.0
0.25,family,empty_rate,0.0869984202211685,0.0068241497314822
0.25,family,singleton_rate,0.8830078988941544,0.0055517171144697
0.25,family,top1_acc_non_empty,0.9481281053338594,0.002199822744524
0.25,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.25,family,hir,0.0,0.0
0.25,major,coverage,0.8053838862559239,0.0077001028909592
0.25,major,set_size_mean,0.9793396524486568,0.0104386619730205
0.25,major,set_size_median,1.0,0.0
0.25,major,empty_rate,0.0869984202211685,0.0068241497314822
0.25,major,singleton_rate,0.8466635071090045,0.0045177018633806
0.25,major,top1_acc_non_empty,0.857184244872069,0.0023692525877816
0.25,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.25,major,hir,,
0.25,leaf,coverage,0.7479431279620848,0.0051238659205135
0.25,leaf,set_size_mean,1.0112701421800945,0.0121012485269812
0.25,leaf,set_size_median,1.0,0.0
0.25,leaf,empty_rate,0.0869984202211685,0.0068241497314822
0.25,leaf,singleton_rate,0.8148625592417059,0.0042088266710063
0.25,leaf,top1_acc_non_empty,0.7754635534414391,0.0031319702834554
0.25,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.25,leaf,hir,,
0.3,family,coverage,0.788341232227488,0.0060027353270892
0.3,family,set_size_mean,0.8325908372827802,0.0066073208721926
0.3,family,set_size_median,1.0,0.0
0.3,family,empty_rate,0.1790932069510264,0.0050749619350547
0.3,family,singleton_rate,0.8092227488151654,0.0038677944267012
0.3,family,top1_acc_non_empty,0.9554745773998512,0.0019928148841512
0.3,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.3,family,hir,0.0,0.0
0.3,major,coverage,0.724587677725118,0.0059760128615167
0.3,major,set_size_mean,0.8394502369668243,0.0076037344737256
0.3,major,set_size_median,1.0,0.0
0.3,major,empty_rate,0.1790932069510264,0.0050749619350547
0.3,major,singleton_rate,0.8023633491311212,0.0032156354368661
0.3,major,top1_acc_non_empty,0.8742349911429489,0.0024809921750806
0.3,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.3,major,hir,,
0.3,leaf,coverage,0.6973175355450233,0.0059466844983481
0.3,leaf,set_size_mean,0.8453428120063187,0.0079998379560481
0.3,leaf,set_size_median,1.0,0.0
0.3,leaf,empty_rate,0.1790932069510264,0.0050749619350547
0.3,leaf,singleton_rate,0.7964707740916269,0.0030590803730385
0.3,leaf,top1_acc_non_empty,0.836517080775281,0.0026730240189115
0.3,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.3,leaf,hir,,
0.35,family,coverage,0.7116240126382302,0.0057965833428115
0.35,family,set_size_mean,0.7335197472353867,0.0060011815387392
0.35,family,set_size_median,1.0,0.0
0.35,family,empty_rate,0.2664802527646124,0.0060011815387391
0.35,family,singleton_rate,0.7335197472353867,0.0060011815387392
0.35,family,top1_acc_non_empty,0.9701515439530952,0.0017200224607121
0.35,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.35,family,hir,0.0,0.0
0.35,major,coverage,0.6636145339652445,0.0050137572169407
0.35,major,set_size_mean,0.7335197472353867,0.0060011815387392
0.35,major,set_size_median,1.0,0.0
0.35,major,empty_rate,0.2664802527646124,0.0060011815387391
0.35,major,singleton_rate,0.7335197472353867,0.0060011815387392
0.35,major,top1_acc_non_empty,0.9047057564268738,0.0021270094598853
0.35,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.35,major,hir,,
0.35,leaf,coverage,0.6471437598736174,0.0050269105682239
0.35,leaf,set_size_mean,0.7335197472353867,0.0060011815387392
0.35,leaf,set_size_median,1.0,0.0
0.35,leaf,empty_rate,0.2664802527646124,0.0060011815387391
0.35,leaf,singleton_rate,0.7335197472353867,0.0060011815387392
0.35,leaf,top1_acc_non_empty,0.8822504033490202,0.002348395228849
0.35,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.35,leaf,hir,,
0.4,family,coverage,0.6251469194312792,0.0079005504921033
0.4,family,set_size_mean,0.6347109004739333,0.0081713989715116
0.4,family,set_size_median,1.0,0.0
0.4,family,empty_rate,0.3652890995260659,0.0081713989715115
0.4,family,singleton_rate,0.6347109004739333,0.0081713989715116
0.4,family,top1_acc_non_empty,0.9849355448086338,0.0013650192611699
0.4,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.4,family,hir,0.0,0.0
0.4,major,coverage,0.6054502369668243,0.0059518006735776
0.4,major,set_size_mean,0.6347109004739333,0.0081713989715116
0.4,major,set_size_median,1.0,0.0
0.4,major,empty_rate,0.3652890995260659,0.0081713989715115
0.4,major,singleton_rate,0.6347109004739333,0.0081713989715116
0.4,major,top1_acc_non_empty,0.9539370041402816,0.0032674588049415
0.4,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.4,major,hir,,
0.4,leaf,coverage,0.5973712480252761,0.0059177736792544
0.4,leaf,set_size_mean,0.6347109004739333,0.0081713989715116
0.4,leaf,set_size_median,1.0,0.0
0.4,leaf,empty_rate,0.3652890995260659,0.0081713989715115
0.4,leaf,singleton_rate,0.6347109004739333,0.0081713989715116
0.4,leaf,top1_acc_non_empty,0.94120776226878,0.0033890563642003
0.4,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.4,leaf,hir,,
0.45,family,coverage,0.5552606635071087,0.0072162723921543
0.45,family,set_size_mean,0.559630331753554,0.0073382773361501
0.45,family,set_size_median,1.0,0.0
0.45,family,empty_rate,0.4403696682464451,0.0073382773361501
0.45,family,singleton_rate,0.559630331753554,0.0073382773361501
0.45,family,top1_acc_non_empty,0.9921936542174556,0.0008032748742586
0.45,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.45,family,hir,0.0,0.0
0.45,major,coverage,0.5497061611374404,0.0067658721996992
0.45,major,set_size_mean,0.559630331753554,0.0073382773361501
0.45,major,set_size_median,1.0,0.0
0.45,major,empty_rate,0.4403696682464451,0.0073382773361501
0.45,major,singleton_rate,0.559630331753554,0.0073382773361501
0.45,major,top1_acc_non_empty,0.9822776687248348,0.0015432784421694
0.45,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.45,major,hir,,
0.45,leaf,coverage,0.5479020537124799,0.0067359602920898
0.45,leaf,set_size_mean,0.559630331753554,0.0073382773361501
0.45,leaf,set_size_median,1.0,0.0
0.45,leaf,empty_rate,0.4403696682464451,0.0073382773361501
0.45,leaf,singleton_rate,0.559630331753554,0.0073382773361501
0.45,leaf,top1_acc_non_empty,0.979054105720398,0.00158248715257
0.45,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.45,leaf,hir,,
0.5,family,coverage,0.5016050552922586,0.0069433552732468
0.5,family,set_size_mean,0.5041611374407577,0.0069035010610025
0.5,family,set_size_median,0.76,0.4194262358829486
0.5,family,empty_rate,0.4958388625592412,0.0069035010610025
0.5,family,singleton_rate,0.5041611374407577,0.0069035010610025
0.5,family,top1_acc_non_empty,0.9949283400590544,0.0008456807398455
0.5,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.5,family,hir,0.0,0.0
0.5,major,coverage,0.4989668246445494,0.0067682393040037
0.5,major,set_size_mean,0.5041611374407577,0.0069035010610025
0.5,major,set_size_median,0.76,0.4194262358829486
0.5,major,empty_rate,0.4958388625592412,0.0069035010610025
0.5,major,singleton_rate,0.5041611374407577,0.0069035010610025
0.5,major,top1_acc_non_empty,0.989699326203412,0.0010510584289934
0.5,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.5,major,hir,,
0.5,leaf,coverage,0.4984676145339649,0.0067408703288288
0.5,leaf,set_size_mean,0.5041611374407577,0.0069035010610025
0.5,leaf,set_size_median,0.76,0.4194262358829486
0.5,leaf,empty_rate,0.4958388625592412,0.0069035010610025
0.5,leaf,singleton_rate,0.5041611374407577,0.0069035010610025
0.5,leaf,top1_acc_non_empty,0.9887097559775552,0.0010867793303859
0.5,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.5,leaf,hir,,
